Epoch	Train Loss	Validation Loss
1	0.041065	0.019608
2	0.022676	0.018572
3	0.019545	0.016797
4	0.018109	0.017199
5	0.015963	0.015319
6	0.016049	0.014626
7	0.015539	0.015203
8	0.013789	0.014520
9	0.014119	0.013555
10	0.013884	0.013428
11	0.013811	0.012004
12	0.013297	0.013306
13	0.013115	0.013547
14	0.013178	0.013543
15	0.013490	0.013171
16	0.013836	0.013177
17	0.012614	0.013483
18	0.013540	0.012815
19	0.012907	0.015602
20	0.012885	0.012584
21	0.012192	0.013682
22	0.012451	0.014475
23	0.012116	0.014137
24	0.012035	0.015121
25	0.011869	0.013717
26	0.011859	0.012860
27	0.011493	0.011619
28	0.012109	0.015661
29	0.012070	0.014185
30	0.011158	0.013654
